Temp,NTC[k¦¸],Vts[V]
-55,739.5,
-54,705.664,
-53,669.165,
-52,631.466,
-51,593.686,
-50,556.644,
-49,520.911,
-48,486.858,
-47,454.704,
-46,424.553,
-45,396.426,
-44,370.283,
-43,346.049,
-42,323.623,
-41,302.89,
-40,283.73,
-39,266.022,
-38,249.649,
-37,234.498,
-36,220.466,
-35,207.454,
-34,195.372,
-33,184.139,
-32,173.681,
-31,163.931,
-30,154.827,
-29,146.315,
-28,138.347,
-27,130.877,
-26,123.866,
-25,117.28,
-24,111.084,
-23,105.252,
-22,99.756,
-21,94.573,
-20,89.682,
-19,85.063,
-18,80.699,
-17,76.574,
-16,72.672,
-15,68.982,
-14,65.489,
-13,62.183,
-12,59.052,
-11,56.087,
-10,53.28,
-9,50.62,
-8,48.1,
-7,45.712,
-6,43.45,
-5,41.306,
-4,39.274,
-3,37.349,
-2,35.524,
-1,33.795,
0,32.116,
1,30.601,
2,29.128,
3,27.732,
4,26.408,
5,25.152,
6,23.962,
7,22.833,
8,21.762,
9,20.746,
10,19.783,
11,18.868,
12,18,
13,17.177,
14,16.395,
15,15.652,
16,14.947,
17,14.277,
18,13.641,
19,13.036,
20,12.461,
21,11.915,
22,11.395,
23,10.901,
24,10.431,
25,10,
26,9.557,
27,9.151,
28,8.765,
29,8.397,
30,8.047,
31,7.712,
32,7.394,
33,7.09,
34,6.8,
35,6.523,
36,6.259,
37,6.008,
38,5.767,
39,5.537,
40,5.318,
41,5.108,
42,4.907,
43,4.716,
44,4.532,
45,4.357,
46,4.189,
47,4.029,
48,3.875,
49,3.728,
50,3.588,
51,3.453,
52,3.324,
53,3.2,
54,3.081,
55,2.968,
56,2.859,
57,2.754,
58,2.654,
59,2.558,
60,2.466,
61,2.377,
62,2.293,
63,2.211,
64,2.133,
65,2.058,
66,1.986,
67,1.917,
68,1.85,
69,1.786,
70,1.725,
71,1.666,
72,1.61,
73,1.555,
74,1.503,
75,1.452,
76,1.404,
77,1.358,
78,1.313,
79,1.27,
80,1.228,
81,1.189,
82,1.15,
83,1.113,
84,1.078,
85,1.044,
86,1.011,
87,0.979,
88,0.948,
89,0.919,
90,0.89,
91,0.863,
92,0.837,
93,0.811,
94,0.787,
95,0.763,
96,0.74,
97,0.718,
98,0.697,
99,0.676,
100,0.657,
101,0.637,
102,0.619,
103,0.601,
104,0.584,
105,0.567,
106,0.551,
107,0.535,
108,0.52,
109,0.505,
110,0.491,
111,0.478,
112,0.464,
113,0.451,
114,0.439,
115,0.427,
116,0.415,
117,0.404,
118,0.393,
119,0.382,
120,0.371,
121,0.361,
122,0.351,
123,0.342,
124,0.333,
125,0.324,
